OLD,NEW
Maple - Vine,Vine Maple
Goastsbeard,Goat's Beard
Red-osier Dogwood,Red-twig Dogwood
Crabapple - Pacific,Pacific Crabapple
Osoberry/Wild Plum,Osoberry/Indian Plum/Wild Plum
Pine - Lodgepole,Lodgepole Pine
Douglas fir,Coastal Douglas-fir
Willow - Pacific,Pacific Willow
Elderberry - Blue,Blue Elderberry
Elderberry - Red,Red Elderberry
Stonecrop - Spreading,Spreading Stonecrop
Snowberry,Common Snowberry
Skunk Cabbage,Western Skunk Cabbage
Western Hemlock -,Western Hemlock
Huckleberry - Evergreen,Evergreen Huckleberry
Huckleberry - Black,Black Huckleberry
Huckleberry - Red,Red Huckleberry
