LATIN,COMMON,SUN,SOIL,HABITAT,SIZES,CATEGORY
Abies balsamea phanerolepis,Caanan Fir,Sun,Moist/Well Drained,"Shade Forest, Montane/Alpine",60P (515A),Christmas Tree Seedlings
Abies concolor,White Fir,Sun/Partial Shade,"Dry/Moist, Well Drained","Shade Forest, Montane/Alpine",Inquire,Christmas Tree Seedlings
Abies fraseri,Fraser Fir,Sun,Moist/Well Drained,"Shade Forest, Montane/Alpine","77P (412A/415D), 60P (515A)",Christmas Tree Seedlings
Abies grandis,Grand Fir,Sun/Partial Shade,"Moist, Well Drained","Open Forest, Shade Forest",77P (412A/415D),Christmas Tree Seedlings
Abies koreana,Korean Fir,Sun/Partial Shade,"Moist, Well Drained","Open Forest, Shade Forest",Inquire,Christmas Tree Seedlings
Abies lasiocarpa var. arizonica,Arizona Supalpine Fir,Sun/Partial Shade,"Dry/Moist, Well Drained","Shade Forest, Montane/Alpine, Riparian",Inquire,Christmas Tree Seedlings
Abies nordmanniana,Nordman Fir,Sun,Moist/Well Drained,"Shade Forest, Montane/Alpine",60P (515A),Christmas Tree Seedlings
Abies procera,Noble Fir,Sun/Partial Shade,Moist/Well Drained,"Open Forest, Shade Forest, Montane/Alpine","45P (615A), 77P (412A/415D)",Christmas Tree Seedlings
Picea pungens 'Kaibab',Colorado Blue Spruce Kaibab,Sun,Moist/Well Drained,Open Forest,Inquire,Christmas Tree Seedlings
Pseudotsuga menziesii,Coastal Douglas-fir,Sun,"Well Drained, Moist/Dry",Open Forest,"45P (615A), 77P (412A/415D)",Christmas Tree Seedlings
